Method,Seen_Human,Seen_VLM,Unseen_Human,Unseen_VLM
GMD,32.51,28.29,9.19,7.91
ViSaRL,35.57,38.19,15.26,22.91
GRIL,44.31,35.61,16.62,13.55
BC,32.77,32.77,8.83,8.83
AGIL,33.9,30.69,21.87,24.52
GABRIL+GMD,38.08,33.91,12.6,13.72
GABRIL,40.66,44.73,19.72,26.76
Average,36.83,34.88,14.87,16.89
