route,seed,detections,vlm_filtered
route_3472,seed_203,583,528
route_3472,seed_204,730,646
route_3472,seed_205,567,524
route_3472,seed_206,544,488
route_3472,seed_207,686,622
route_3472,seed_208,518,468
route_3472,seed_209,626,576
route_3472,seed_210,466,424
route_3472,seed_211,634,581
route_3472,seed_212,633,573
route_3472,seed_213,735,632
route_3472,seed_214,669,609
route_3472,seed_215,544,492
route_3472,seed_216,631,586
route_3472,seed_217,725,652
route_3472,seed_218,506,450
route_3472,seed_219,727,638
